job_title,company,location,raw_content,job_url,stipend_text,duration_text,stipend_numeric,category,is_remote
Artificial Intelligence (AI),Blismos Solutions Private Limited,Bangalore,"Artificial Intelligence (AI)|Blismos Solutions Private Limited|Actively hiring|Bangalore|₹ 2,500 - 5,000 /month|3 Months|A. Training, Practice & Technical Discussions
1. Participate in structured training sessions covering AI fundamentals, machine learning concepts, GenAI, and real-world applications
2. Engage in hands-on practice assignments to strengthen practical understanding
3. Actively take part in technical discussions, brainstorming sessions, and reviews with mentors and peers

B. Project Implementation
1. Work on end-to-end implementation of AI/ML projects, from problem understanding to solution development
2. Assist in data preparation, model development, testing, and deployment support
3. Gain exposure to real client or internal business use cases, not just academic exercises

C. Contribution to Company Activities
1. Support the team in technical documentation, project reports, and knowledge assets
2. Assist in editing and organizing training or demo videos
3. Provide teaching or mentoring assistance during training sessions or workshops
4. Help with tool installations, environment setup, and AI platform configuration
5. Contribute to marketing and outreach activities such as case studies, blogs, demo content, or presentations

D. Proof of Concept (PoC) Development
1. Design and develop AI Proof of Concepts for identified business problems
2. Experiment with new AI tools, frameworks, and models
3. Present PoCs with clear problem statements, approach, outcomes, and business value|Python|SQL|Data Structures|Machine Learning|Deep Learning|Artificial intelligence|1 week ago",https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-bangalore-at-blismos-solutions-private-limited1769689983,"₹ 2,500 - 5,000",3 Months,3750.0,Data Science & AI,False
Performance Marketing,Expanse Digital,Mumbai,"Performance Marketing|Expanse Digital|Actively hiring|Mumbai|₹ 10,000 /month|3 Months|1. Assisting the performance marketing team in executing Meta (Facebook/Instagram) ad campaigns.
2. Uploading ads, rotating creatives, and maintaining campaign hygiene.
3. Writing ad copy drafts and suggesting creative ideas for testing.
4. Monitoring basic performance metrics and reporting observations.
5. Supporting daily optimisations once trained.
6. Asking questions to understand why decisions are taken.
7. Gradually handling 1–2 small ad accounts end-to-end by the end of the internship.

This role is intended for candidates who want to build a serious career in performance marketing and are willing to invest time in learning deeply.|Digital Marketing|Data Analytics|Google AdWords|Copywriting|Marketing Strategy|Facebook Ads|1 week ago|Job offer upto|₹ 4.8LPA|post internship",https://internshala.com/internship/detail/performance-marketing-internship-in-mumbai-at-expanse-digital1769691420,"₹ 10,000",3 Months,10000.0,Marketing & Growth,False
Growth Marketing,Humanhire Corp,Jaipur,"Growth Marketing|Humanhire Corp|Actively hiring|Jaipur|₹ 8,000 - 11,500 /month|6 Months|1. Assisting in planning and executing growth and digital marketing campaigns
2. Supporting lead generation, outreach, and audience engagement activities
3. Analyzing basic campaign performance metrics and preparing reports
4. Coordinating with the marketing team to test and optimize growth strategies|Marketing|Marketing Strategies|6 days ago|Be an early applicant|Job offer upto|₹ 2.5LPA|post internship",https://internshala.com/internship/detail/growth-marketing-internship-in-jaipur-at-humanhire-corp1770017976,"₹ 8,000 - 11,500",6 Months,9750.0,Marketing & Growth,False
Brand Communications,IDDA Assurance,Mumbai,"Brand Communications|IDDA Assurance|Actively hiring|Mumbai|₹ 7,000 - 10,000 /month|3 Months|1. Engage healthcare practitioners through cold calls to introduce our offerings and programs.
2. Schedule and conduct follow-up meetings via Google Meet to maintain relationships and move conversations forward.
3. Deliver compelling, personalized presentations to doctors, tailoring pitches to individual needs and ensuring a strong onboarding experience.
4. Drive the sales process from initial contact to deal closure, consistently working to meet or exceed targets.
5. Execute email marketing campaigns and develop effective communication scripts that reflect consistent, professional brand messaging.
6. Maintain detailed records and update tracking sheets to monitor communication, progress, and client information.
7. Lead and support a team of brand communicators, tracking performance and reporting to the brand communications team.
8. Collaborate with internal teams to ensure alignment and seamless execution of business development strategies.
9. Maintain professionalism in all communications, consistently reflecting company values and tone.|Branding|Email Marketing|Sales|Effective Communication|3 weeks ago",https://internshala.com/internship/detail/brand-communications-internship-in-mumbai-at-idda-assurance1767165709,"₹ 7,000 - 10,000",3 Months,8500.0,Marketing & Growth,False
Digital Media Marketing,EROEI Tech Private Limited,Bangalore,"Digital Media Marketing|EROEI Tech Private Limited|Actively hiring|Bangalore|₹ 10,000 - 15,000 /month|6 Months|Selected intern's day-to-day responsibilites include:

A. AI-Assisted Content Creation:
1. Using AI tools such as ChatGPT, Midjourney, DALL·E, Runway, Canva AI, and Higgsfield to ideate, generate, and refine social media posts, visual creatives, and short-form videos and reels.
2. Translating product ideas and brand messaging into platform-specific AI-generated content for Instagram, LinkedIn, and YouTube.
3. Ensuring consistency across all content with respect to brand tone, visual identity, and messaging guidelines.

B. Content Performance Tracking & Analytics:
1. Monitoring and analyzing content performance metrics across platforms, including reach, engagement rate, saves and shares, and click-through rate (CTR) where applicable.
2. Using analytics dashboards and AI insights to identify high-performing content patterns and spot underperforming formats or audience drop-offs.
3. Preparing structured weekly and monthly performance reports.

C. AI-Driven Optimization & Iteration:
1. Leveraging AI-based insights to understand which content formats perform best, why certain posts outperform others, and the impact of timing, visuals, hooks, and captions on engagement.
2. Conducting controlled experiments, including A/B testing creatives, captions, hooks, and formats.
3. Iterating content based on data-driven insights.
4. Continuously improving content quality through AI feedback loops.

D. Systems, Processes & Automation:
1. Assisting in building repeatable, AI-enabled workflows for content ideation, content creation, publishing and scheduling, and performance review and optimization.
2. Helping document and maintain best-performing content formats, AI prompts and workflows, content guidelines, and internal playbooks.|Social Media Marketing|Content Marketing|Design Thinking|Research and Analytics|A/B Testing|Generative AI Tools|Prompt Engineering|+1 more|1 week ago",https://internshala.com/internship/detail/ai-driven-social-media-content-analytics-optimization-internship-in-bangalore-at-eroei-tech-private-limited1769407031,"₹ 10,000 - 15,000",6 Months,12500.0,Marketing & Growth,False
Junior Architect,The Agency Source,Delhi,"Junior Architect|The Agency Source|Actively hiring|Delhi|₹ 10,000 /month|3 Months|We are looking for an 'Architect Intern' to supervise a project in South Delhi. 

Selected intern's day-to-day responsibilites include:

1. Monitor quality of materials and workmanship.
2. Track project timelines and flag delays or issues.
3. Use AI-based architecture tools for visualization.|Data Visualization|Architectural Drafting|Generative AI Tools|5 days ago",https://internshala.com/internship/detail/junior-architect-internship-in-delhi-at-the-agency-source1770096718,"₹ 10,000",3 Months,10000.0,Other,False
Research Analyst Trainee,Humanhire Corp,Jaipur,"Research Analyst Trainee|Humanhire Corp|Actively hiring|Jaipur|₹ 5,000 - 7,500 /month|6 Months|As a 'research analyst' intern, you will have the opportunity to dive deep into the world of market analysis, market research, and research and analytics. 

 

1. Conduct thorough research on potential clients, competitors, and industry trends.
2. Identify decision-makers and hiring leads across LinkedIn and other professional databases.
3. Analyze data to prepare insightful client and market reports.
4. Maintain and update company information in CRM tools and internal databases.
5. Support the business development team with research inputs for new partnerships or hiring mandates.
6. Track market movements, upcoming projects, and recruitment opportunities across target sectors.
7. Compile reports and summaries for management review.

If you are a detail-oriented and analytical thinker with a passion for research and data analysis, this internship is the perfect opportunity to gain valuable hands-on experience in a dynamic and fast-paced environment. Join us at Humanhire Corp and make a difference with your research and analytical skills!|Market Analysis|Research and Analytics|Market research|5 days ago|Be an early applicant|Job offer upto|₹ 3LPA|post internship",https://internshala.com/internship/detail/research-analyst-trainee-internship-in-jaipur-at-humanhire-corp1770018066,"₹ 5,000 - 7,500",6 Months,6250.0,Data Science & AI,False
SQL Data Analytics (Hybrid),Hamari Pahchan NGO,Delhi(Hybrid),"SQL Data Analytics (Hybrid)|Hamari Pahchan NGO|Actively hiring|Delhi|(Hybrid)|Unpaid|3 Months|1. Understand database fundamentals and SQL architecture
2. Write and optimize SQL queries for data extraction
3. Work with SELECT, WHERE, JOIN, GROUP BY, HAVING, ORDER BY
4. Analyze datasets to generate meaningful insights
5. Handle real-world use cases and practice datasets
6. Complete daily assignments and a final project|MS-Word|MS-Excel|Computer skills|1 day ago|Part time",https://internshala.com/internship/detail/part-time-sql-data-analytics-hybrid-internship-in-delhi-at-hamari-pahchan-ngo1770369667,Unpaid,3 Months,0.0,Data Science & AI,False
AI Developer,Talent Corner HR Services,Mumbai,"AI Developer|Talent Corner HR Services|Actively hiring|Mumbai|₹ 2,000 - 5,000 /month|3 Months|1. Assist in developing, training, and testing AI and Machine Learning models
2. Work with large datasets for data cleaning, preprocessing, and feature engineering
3. Implement algorithms using Python and ML libraries such as Scikit-learn, TensorFlow, or PyTorch
4. Support development of AI-driven applications and proof-of-concepts
5. Perform model evaluation, tuning, and optimization to improve accuracy and performance
6. Collaborate with senior developers and data scientists on real-world AI use cases
7. Research and implement the latest AI and ML techniques as per project requirements
8. Document model workflows, experiments, and results clearly
9. Participate in code reviews and follow best coding practices
10. Assist in deploying models and integrating them with applications|Machine Learning|Problem Solving|Artificial intelligence|Generative AI Development|Artificial Intelligence Markup Language (AIML)|Generative AI Tools|AI Image Generation|4 days ago",https://internshala.com/internship/detail/ai-developer-internship-in-mumbai-at-talent-corner-hr-services1770183263,"₹ 2,000 - 5,000",3 Months,3500.0,Data Science & AI,False
Artificial Intelligence,Talent Corner HR Services,Mumbai,"Artificial Intelligence|Talent Corner HR Services|Actively hiring|Mumbai|₹ 2,000 - 5,000 /month|3 Months|1. Help design, develop, and deploy AI and Machine Learning solutions
2. Help with data collection, cleaning, preprocessing, and analysis for AI models
3. Help develop and test ML models to enhance performance and accuracy
4. Help deploy AI algorithms using Python and related libraries and frameworks
5. Help research new AI methodologies and apply them to current projects
6. Help work with cross-functional teams to understand business and technical needs
7. Help document model development activities, experiments, and outcomes
8. Help with debugging, optimization, and performance improvement of AI systems
9. Help ensure best practices in coding, versioning, and model assessment
10. Help with deploying AI models into applications|Machine Learning|Effective Communication|Generative AI Development|Machine Learning Operations (MLOps)|Generative AI Tools|AI Image Generation|4 days ago",https://internshala.com/internship/detail/artificial-intelligence-internship-in-mumbai-at-talent-corner-hr-services1770183316,"₹ 2,000 - 5,000",3 Months,3500.0,Design & Creative,False
